model,cv_pr_auc,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,best_params
Random Forest,0.5903156272889218,0.20666666666666667,0.8823529411764706,0.8851224105461393,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.9142079933040383,0.6969374741096064,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 600}"
SVM RBF,0.5807932872669943,0.28579761022021877,0.8529411764705882,0.7583176396735719,0.4594594594594595,0.6296296296296297,0.53125,0.8955848503871102,0.5404605857798446,"{""model__C"": 0.25, ""model__gamma"": 0.03}"
Logistic Regression,0.569943331411169,0.6608138091826189,0.8382352941176471,0.7498430634023854,0.425,0.6296296296296297,0.5074626865671642,0.8874241473111529,0.48910260155118246,"{""model__C"": 0.05}"
